frac_year,tcwv
2016.657530737705,51.5
2016.6575876502732,51.4
2016.657644590164,51.3
2016.6577015027322,51.4
2016.6577584153006,51.2
2016.6578153551914,51.3
2016.6578722677596,51.4
2016.6579291803278,51.3
2016.6579861202185,51.1
2016.658043032787,50.6
2016.6580999453552,50.8
2016.658156885246,50.8
2016.6582137978141,50.4
2016.6582707103826,49.9
2016.6583276502731,49.6
2016.6583845628415,49.9
2016.6584414754097,49.2
2016.6584984153005,49.3
2016.658555327869,49.0
2016.6586122404372,49.2
2016.658669180328,49.5
2016.6587260928961,49.0
2016.6587830054646,49.2
2016.658839945355,49.2
2016.6588968579235,48.8
2016.6589537704917,48.7
2016.6590107103825,48.3
2016.6590676229507,47.9
2016.6591245355191,48.3
2016.65918147541,47.8
2016.6592383879781,46.3
2016.6592953005465,46.0
2016.659352240437,46.4
2016.6594091530055,46.4
2016.6594660655737,46.4
2016.6595230054645,46.5
2016.6595799180327,46.1
2016.6596368306011,46.1
2016.659693770492,45.9
2016.65975068306,45.6
2016.6598075956283,46.0
2016.659864535519,45.5
2016.6599214480875,45.6
2016.6599783606557,46.1
2016.6600353005465,45.8
2016.6600922131147,45.1
2016.6601491256831,45.2
2016.6602060655737,45.0
2016.660262978142,45.1
2016.6603198907103,44.9
2016.660376830601,44.2
2016.6604337431695,44.6
2016.6604906557377,44.4
2016.6605475956285,44.6
2016.6606045081967,44.5
2016.660661420765,44.3
2016.6607183606557,45.3
2016.660775273224,46.2
2016.6608321857923,48.2
2016.660889125683,49.1
2016.6609460382513,48.6
2016.6610029508197,48.9
2016.6610598907105,49.8
2016.6611168032787,50.4
2016.661173715847,50.6
2016.6612306557377,51.0
2016.661287568306,51.7
2016.6613444808743,52.4
2016.661401420765,52.8
2016.6614583333333,53.4
2016.6615152459017,53.5
2016.6615721857922,53.9
2016.6616290983607,53.5
2016.6616860109289,52.3
2016.6617429508196,52.7
2016.661799863388,52.8
2016.6618567759563,52.1
2016.661913715847,51.6
2016.6619706284152,51.3
2016.6620275409837,51.5
2016.6620844808742,51.9
2016.6621413934427,51.8
2016.6621983060109,51.7
2016.6622552459016,52.5
2016.66231215847,52.1
2016.6623690710383,51.8
2016.662426010929,52.5
2016.6624829234972,52.8
2016.6625398360657,51.8
2016.6625967759562,51.8
2016.6626536885246,52.6
2016.6627106010928,51.9
2016.6627675409836,52.1
2016.6628244535518,52.4
2016.6628813661202,51.6
2016.662938306011,51.4
2016.6629952185792,51.6
2016.6630521311477,51.3
2016.6631090710382,51.3
2016.6631659836066,51.7
2016.6632228961748,51.8
2016.6632798360656,51.8
2016.6633367486338,51.8
2016.6633936612022,51.5
2016.6634506010928,51.2
2016.6635075136612,50.9
2016.6635644262294,51.3
2016.6636213661202,51.1
2016.6636782786886,51.0
2016.6637351912568,51.3
2016.6637921311476,51.1
2016.6638490437158,51.5
2016.6639059562842,51.7
2016.6694273770493,47.2
2016.6694842896175,46.8
2016.6695412021859,46.4
2016.6695981420764,46.1
2016.6696550546449,45.5
2016.669711967213,45.2
2016.6697689071038,45.4
2016.669825819672,45.1
2016.6698827322405,44.9
2016.6699396721312,44.8
2016.6699965846994,44.5
2016.6700534972679,44.7
2016.6701104371584,44.5
2016.6701673497269,44.4
2016.670224262295,44.6
2016.6702812021858,44.7
2016.670338114754,44.1
2016.6703950273225,44.1
2016.670451967213,44.2
2016.6705088797814,44.5
2016.6705657923496,44.8
2016.6706227322404,45.1
2016.6706796448088,46.1
2016.670736557377,45.6
2016.6707934972678,43.5
2016.670850409836,45.5
2016.6709073224044,48.0
2016.670964262295,47.3
2016.6710211748634,47.8
2016.6710780874316,47.9
2016.6711350273224,47.9
2016.6711919398906,48.6
2016.671248852459,48.1
2016.6713057923498,48.4
2016.671362704918,49.2
2016.6714196174864,48.4
2016.671476557377,48.3
2016.6715334699454,49.0
2016.6715903825136,49.5
2016.6716473224044,49.7
2016.6717042349726,50.6
2016.671761147541,51.0
2016.6718180874318,50.8
2016.671875,51.1
2016.6719319125682,50.9
2016.671988852459,51.0
2016.6720457650274,51.2
2016.6721026775956,51.5
2016.6721596174864,50.9
2016.6722165300546,50.4
2016.672273442623,50.9
2016.6723303825136,50.5
2016.672387295082,51.1
2016.6724442076502,51.6
2016.672501147541,51.1
2016.6725580601094,51.7
2016.6726149726776,52.1
2016.6726719125684,51.7
2016.6727288251366,52.1
2016.672785737705,52.1
2016.6728426775956,51.2
2016.672899590164,51.0
2016.6729565027322,51.4
2016.673013442623,52.0
2016.6730703551912,52.4
2016.6731272677596,52.6
2016.6731842076504,52.2
2016.6732411202186,51.9
2016.673298032787,51.9
2016.6733549726775,51.4
2016.673411885246,51.6
2016.6734687978142,51.6
